"Name","Live Bytes","Live Objects"
"java.lang.invoke.DirectMethodHandle$Accessor","1,200 B (0%)","30 (0%)"
"org.QTS.app.service.room.RoomService","480 B (0%)","30 (0%)"
"java.util.Collections$UnmodifiableSet","464 B (0%)","29 (0%)"
"java.nio.DirectByteBuffer","1,856 B (0%)","29 (0%)"
"sun.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl","1,160 B (0%)","29 (0%)"
"javassist.bytecode.ConstantAttribute","696 B (0%)","29 (0%)"
"java.security.Provider$UString","672 B (0%)","28 (0%)"
"java.security.Provider$Service","1,512 B (0%)","27 (0%)"
"java.util.logging.Logger","1,872 B (0%)","26 (0%)"
"sun.misc.Cleaner","1,040 B (0%)","26 (0%)"
"java.lang.annotation.ElementType[]","704 B (0%)","26 (0%)"
"javassist.bytecode.ConstInfoPadding","400 B (0%)","25 (0%)"
"javassist.bytecode.LongInfo","600 B (0%)","25 (0%)"
"com.sun.proxy.$Proxy0","384 B (0%)","24 (0%)"
"com.sun.proxy.$Proxy1","384 B (0%)","24 (0%)"
